title,subtitle,link
Gunners close gap to Liverpool in spiky showdown,"ERLING HAALAND was force-fed humble pie in north London by an impassioned Arsenal performance. Revenge was sweet for that near-miss at the Etihad, when Arsenal’s ten men had staged the mother of all rearguard efforts to hold on to a 2-1 half-time lead only to be denied at the death.",https://www.thesun.co.uk/sport/33152627/arsenal-5-man-city-1-gunners-close-gap-liverpool/
Tottenham 'contact Villa about Bailey' as they battle Man Utd for shock deal,No subtitle found,https://www.thesun.co.uk/sport/33157798/man-utd-tottenham-aston-villa-leon-bailey-transfer/
Angry Henderson goes off at journalist after Ajax ace is grilled on Monaco move,No subtitle found,https://www.thesun.co.uk/sport/33155282/jordan-henderson-monaco-transfer-row-ajax-journalist/
How Arsenal's DJ brutally trolled Haaland seconds after Man City thrashed 5-1,No subtitle found,https://www.thesun.co.uk/sport/33153384/arsenal-dj-erling-haaland-man-city-premier-league/
"Win a Rolex plus £5k or £16,000 cash alternative from just 30p with our discount",No subtitle found,https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
Marcus Rashford releases 78-word statement after completing Aston Villa loan,No subtitle found,https://www.thesun.co.uk/sport/33157373/marcus-rashford-villa-loan-transfer-man-utd-statement/
Rashford told he will never play for Man Utd again while Amorim is manager,No subtitle found,https://www.thesun.co.uk/sport/33143782/marcus-rashford-man-utd-ruben-amorim-aston-villa/
Three reasons Rashford chose Aston Villa after expecting Euro giants move,No subtitle found,https://www.thesun.co.uk/sport/33144400/marcus-rashford-aston-villa-man-utd-ruben-amorim/
Kyle Walker's wife is no-show at AC Milan debut despite reuniting hrs before,"THE former Manchester City skipper, 34, was named in the starting line-up for the fierce derby match against arch rivals Inter.",https://www.thesun.co.uk/sport/33153252/kyle-walker-wife-annie-milan-debut-no-show/
Nottingham Forest terminate forgotten England star's contract,No subtitle found,https://www.thesun.co.uk/sport/33157656/james-ward-prowse-nottingham-forest-west-ham/
Walker makes AC Milan debut in huge clash vs Inter but it ends in heartbreak,No subtitle found,https://www.thesun.co.uk/sport/33149636/kyle-walker-milan-inter-debut-man-city/
'Man Utd were the problem' - Antony gets assist just 14 minutes into Betis debut,No subtitle found,https://www.thesun.co.uk/sport/33154423/antony-real-betis-man-utd-transfer-news/
Arteta opens door to Arsenal signing striker on transfer Deadline Day,No subtitle found,https://www.thesun.co.uk/sport/33147689/arsenal-transfer-news-new-striker-deadline-day-mikel-arteta/
Amorim's woeful side slip to 13th as Eagles pull off smash-and-grab win,MATETA'S second-half double sent the Red Devils to a fifth defeat in six home Prem games. And once again United were made to pay for blunders.,https://www.thesun.co.uk/sport/33149831/man-utd-0-2-crystal-palace-prem-report/
Diallo lone bright spark as Maguire dominated by Palace attack,No subtitle found,https://www.thesun.co.uk/sport/33148762/man-utd-player-ratings-palace/
Amorim confirms 'serious' damage as star stretchered off with knee injury,No subtitle found,https://www.thesun.co.uk/sport/33103477/lisandro-martinez-injury-updates-man-utd-crystal-palace-live/
Martinez in tears as he's stretchered off with 'serious' injury for Man Utd,No subtitle found,https://www.thesun.co.uk/sport/33150219/lisandro-martinez-injury-man-utd-crystal-palace/
Man Utd in talks over Villa ace who's regularly on bench to plug Rashford hole,No subtitle found,https://www.thesun.co.uk/sport/33148280/man-utd-transfer-aston-villa-rashford/
'Head is gone' - Guardiola's bizarre reaction over Lewis-Skelly mocking Haaland,"MAN CITY boss could not have cared less as he was told about Myles Lewis-Skelly's celebration. Guardiola, 54, has won six Premier League titles.",https://www.thesun.co.uk/sport/33158277/pep-guardiola-man-city-arsenal-lewis-skelly/
Fans reckon Gabriel told Haaland 'fetch my boot' as heated rivalry hits new peak,No subtitle found,https://www.thesun.co.uk/sport/33152747/gabriel-haaland-boot-rivalry-arsenal-man-city/
Lewis-Skelly thrives but Saliba's biggest flaw brutally exposed in win,No subtitle found,https://www.thesun.co.uk/sport/33146731/arsenal-player-ratings-manchester-city/
Fans think they know what Haaland said to Gabriel in cheeky taunt,No subtitle found,https://www.thesun.co.uk/sport/33157375/erling-haaland-gabriel-man-city-arsenal-taunting/
Haaland's dad trolls Arsenal in seven-word post after Gunners mock hitman,No subtitle found,https://www.thesun.co.uk/sport/33151935/erling-haaland-dad-alf-inge-arsenal-trolled-man-city/
"'S***house' Lewis-Skelly, 18, hits Haaland cele after 1st Arsenal goal vs City",No subtitle found,https://www.thesun.co.uk/sport/33152285/myles-lewis-skelly-haaland-celebration-arsenal-city/
'Just leave it' - Mikel Arteta warns Arsenal stars over row with Erling Haaland,No subtitle found,https://www.thesun.co.uk/sport/33156212/mikel-arteta-erling-haaland-arsenal-stars-warning/
Gabriel celebrates in Haaland's face as fans say 'this is what Prem needs',No subtitle found,https://www.thesun.co.uk/sport/33151353/gabriel-haaland-rivalry-celebrates-face-arsenal-man-city/
Van Persie seething after opponents allowed to field 12 PLAYERS during match,EX-Manchester United striker Van Persie was fuming after his side played against 12 men in the Eredivisie. ,https://www.thesun.co.uk/sport/33147847/van-persie-heerenveen-12-players-fortuna-sittard/
Pub's free pint offer for every time Forest scores backfires after their 7-0 win,No subtitle found,https://www.thesun.co.uk/sport/33155904/nottingham-forest-brighton-free-pint/
Nervy Spurs earn vital win to ease looming relegation fears,No subtitle found,https://www.thesun.co.uk/sport/33149615/tottenham-brentford-premier-league-janelt-sarr/
Embarrassment for Man Utd ace after saying emotional byes before exit collapses,No subtitle found,https://www.thesun.co.uk/sport/33148974/tyrell-malacia-man-utd-transfer/
West Ham win race for Evan Ferguson with two Prem rivals left scrambling,No subtitle found,https://www.thesun.co.uk/sport/33146638/evan-ferguson-west-ham-transfer-brighton/
Man Utd sign Patrick Dorgu on five-year deal as Amorim solves left-back crisis,RUBEN AMORIM was desperate to add a left-back to his squad before the January transfer window closed. And he has got his man in the shape of the versatile Lecce man.,https://www.thesun.co.uk/sport/33140399/man-utd-complete-patrick-dorgu-transfer-ruben-amorim/
"Inside Danso's Spurs move after ace axed medical with rival, now faces huge debut",No subtitle found,https://www.thesun.co.uk/sport/33147084/kevin-danso-tottenham-transfer-hijack-wolves/
EFL boss says sorry to Postecoglou and Spurs for 'stupid comment' in statement,No subtitle found,https://www.thesun.co.uk/sport/33147368/efl-ange-postecoglu-richie-wellens-tottenham-leyton-orient/
'Bro thinks he's Kate Abdo' say fans as Sky Sports reveal very familiar panel,No subtitle found,https://www.thesun.co.uk/sport/33149650/sky-copy-cbs-panel-henry-carragher-richards/
Win a Lamborghini and £10k or £260k cash alternative from just 45p with our code,No subtitle found,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
"I jumped in front of lorry - now it's a joy to be alive, says Clarke Carlisle","EX-PREM ACE explains how instead of turning to gambling in his dark days, he now seeks solace... by hiding behind the fridge",https://www.thesun.co.uk/sport/33153230/clarke-carlisle-recovered-suicide-bid/
Duran plots 600-mile commute to avoid living in Saudi despite £320k a week,No subtitle found,https://www.thesun.co.uk/sport/33142358/jhon-duran-commute-girlfriend-saudi-arabia-al-nassr-transfer/
Marcus Rashford's England future revealed as Three Lions boss Tuchel holds talks,No subtitle found,https://www.thesun.co.uk/sport/33143693/marcus-rashford-england-future-tuchel/
Rashford 'set to be joined by three-time Champions League winner at Villa',No subtitle found,https://www.thesun.co.uk/sport/33148108/marcus-rashford-aston-villa-transfer-marco-asensio/
Best free bets and betting sign-up offers from UK bookmakers (2025),No subtitle found,https://www.thesun.co.uk/betting/32916258/best-free-bets-sign-up-offers-uk/
Get up to £40 in free bets to spend on football with talkSPORT BET,No subtitle found,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
Get £40 welcome bonus when you stake £10 on football with Tote,No subtitle found,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,No subtitle found,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
'Better at football' - Ex-porn star calls Iker Casillas 'selfish & stingy lover',"CLAUDIA BAVEL, who made her X-rated film debut as a teenager and now earns around £17,000 a month from Only Fans, also branded the ex-Spain international “stingy” in a warts-and-all TV interview.",https://www.thesun.co.uk/sport/33138077/claudia-bavel-iker-casillas-dating-onlyfans/
Chelsea set to sign French wonderkid after beating London rivals to £30m deal,No subtitle found,https://www.thesun.co.uk/sport/33146129/transfer-news-chelsea-bid-eli-junior-kroupi/
City set to go back in for £50m Rodri replacement before Deadline Day,No subtitle found,https://www.thesun.co.uk/sport/33146859/transfer-news-man-city-pep-guardiola-nico-gonzalez/
Best no deposit bonus offers from UK casinos in 2025,No subtitle found,https://www.thesun.co.uk/betting/32286631/no-deposit-bonuses/
Wolves in line for shock windfall on £35m flop as Atletico keen on transfer,No subtitle found,https://www.thesun.co.uk/sport/33146609/transfer-news-wolves-fabio-silva-atletico-madrid/
Ryan Giggs' restaurant 'suddenly CLOSES' as devastated workers 'sacked by text',"STAFF of George's Dining Room and Bar in Worsley, Manchester, were reportedly told by text they'd been sacked.",https://www.thesun.co.uk/sport/33134182/man-utd-ryan-giggs-restaurant-closes/
Solskjaer raids Man Utd for first new Besiktas recruit to 'do the dirty work',No subtitle found,https://www.thesun.co.uk/sport/33146919/ole-gunnar-solskjaer-man-utd-besiktas/
Everton eye one-cap France star in £20m transfer as Moyes aims to fix issue,No subtitle found,https://www.thesun.co.uk/sport/33146597/everton-adrien-truffert-transfer-rennes-moyes/
Crystal Palace close in on ambitious £25m Pavlovic deal alongside Chilwell,No subtitle found,https://www.thesun.co.uk/sport/33146465/crystal-palace-strahinja-pavlovic-transfer-chilwell/
Nottingham Forest open to loaning star to rivals Derby in controversial deal,No subtitle found,https://www.thesun.co.uk/sport/33146215/nottingham-forest-lewis-obrien-transfer-derby/
Get 100% up to £200 on your first deposit PLUS 11 free spins with Mr Vegas,No subtitle found,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/
Get Duelz Casino's £100 bonus and 100 free spins if you sign up this month,No subtitle found,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/
The best online casinos for free spins and bonuses from £10 deposits,No subtitle found,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
Brighton reject £75m bid for Kaoru Mitoma from Cristiano Ronaldo's Al-Nassr,THE Saudi side saw an opening bid of £54m knocked back on Thursday before returning with their eye-watering offer for the 27-year-old.,https://www.thesun.co.uk/sport/33120056/brighton-reject-transfer-bid-kaoru-mitoma-al-nassr/
Brighton told they must pay £22m for left-back El Hadji Malick Diouf transfer,No subtitle found,https://www.thesun.co.uk/sport/33147556/brighton-el-hadji-malick-diouf-transfer-slavia-prague/
Forgotten ex-Arsenal star wanted by Sheffield United and Lampard's Coventry,No subtitle found,https://www.thesun.co.uk/sport/33142037/arsenal-transfer-rob-holding-frank-lampard/
Arsenal join Man Utd in Mathys Tel battle after rejecting Tottenham,No subtitle found,https://www.thesun.co.uk/sport/33148021/mathys-tel-arsenal-transfer-man-utd-tottenham/
"Inside Duran's staggering deal as he earns £1,900 per HOUR at Al Nassr",No subtitle found,https://www.thesun.co.uk/sport/33134324/jhon-duran-al-nassr-contract-wages-revealed/
Why Erling Haaland is currently most transferred-out player ahead of Gameweek 22,No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/33021421/erling-haaland-transfers-out-fantasy-football-form-replacements/
James Maddison's unexpected absent scuppers Dream Team bosses in Gameweek 21,No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/33029430/james-maddison-injury-tottenham-leicester-fantasy-football-transfers/
"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",No subtitle found,https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
Inside Marcus Rashford's demise from huge football star to Utd's £60m problem,"EIGHTEEN months ago, having signed a contract worth £84.5million, it seemed Marcus Rashford could do no wrong.",https://www.thesun.co.uk/sport/33130426/marcus-rashford-manchester-united-problem-transfer/
Cheapest Premier League club to support home and away revealed,No subtitle found,https://www.thesun.co.uk/sport/33132029/cheapest-premier-league-club-brentford-football/
Premier League clash descends into farce as VAR asks ref to count players,No subtitle found,https://www.thesun.co.uk/sport/33143088/wolves-aston-villa-var-count-disallowed/
'This league is a joke' - Fans in disbelief as Liverpool awarded 'shocking' pen,No subtitle found,https://www.thesun.co.uk/sport/33138765/fans-slam-referee-gakpo-penalty-liverpool-bournemouth-var/
Newcastle star hit by racist abuse after defeat & tells thug 'hope you find God',No subtitle found,https://www.thesun.co.uk/sport/33144301/newcastle-star-joe-willock-vile-racist-abuse/
English football is not broken – Government are searching for problems,No subtitle found,https://www.thesun.co.uk/sport/33129924/karren-brady-independent-football-regulator-uefa/
Only Man City's meltdown has saved Champions League - new format has been awful,No subtitle found,https://www.thesun.co.uk/sport/33061795/man-city-champions-league-tv-format/
"Cantona kick was crazy... but stars are now robot clones, we need personalities",No subtitle found,https://www.thesun.co.uk/sport/32995433/premier-league-news-eric-cantona-kick-30-years/
